,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
509,H6GA04129,"JOHNSON, HENRY C 'HANK'",I,1.0,DEM,448223.02,0.0,433430.85,0.0,2850.08,17642.25,0.0,0.0,0.0,0.0,0.0,3211.2,58923.87,GA,04,,W,,W,73.0,387800.0,0.0,2012-12-31,500.0,0.0
510,H2GA04144,"VAUGHN, JEFFERY CHRIS",C,2.0,REP,44102.4,0.0,44944.29,0.0,0.0,-841.89,0.0,0.0,0.0,0.0,0.0,2720.0,44102.4,GA,04,,W,,L,26.0,0.0,0.0,2012-12-31,0.0,0.0
514,H6GA05217,"LEWIS, JOHN R.",I,1.0,DEM,1238406.06,0.0,1300095.24,0.0,268411.57,206722.39,0.0,0.0,0.0,0.0,0.0,520.18,457678.03,GA,05,,W,,W,84.0,769650.0,37.55,2012-12-31,500.0,0.0
515,H2GA05133,"STOPECK, HOWARD",C,2.0,REP,54960.0,0.0,71960.0,0.0,500.0,0.0,85000.0,17000.0,0.0,17000.0,0.0,0.0,22280.0,GA,05,,W,,L,15.0,0.0,0.0,2012-11-14,0.0,0.0
517,H2GA06115,"KAZANOW, JEFFREY H",C,1.0,DEM,44765.0,0.0,44593.0,0.0,0.0,169.0,0.0,35000.0,5000.0,0.0,0.0,30000.0,9765.0,GA,06,,W,,L,35.0,0.0,0.0,2012-11-26,0.0,0.0
518,H4GA06087,"PRICE, THOMAS EDMUNDS",I,2.0,REP,2341155.22,71144.43,1779245.68,0.0,1016398.22,1578307.76,0.0,0.0,0.0,0.0,0.0,0.0,1057380.26,GA,06,,W,,W,64.0,1201354.88,0.0,2012-12-31,950.0,6518.0
520,H2GA07097,"REILLY, STEVEN M",C,1.0,DEM,32926.0,0.0,32745.0,0.0,0.0,178.0,5502.0,0.0,0.0,0.0,0.0,0.0,18474.0,GA,07,,W,,L,37.0,8950.0,0.0,2012-12-31,1150.0,0.0
522,H0GA07133,"WOODALL, ROB",I,3.0,UNK,407300.43,24354.59,426844.12,106000.0,75284.74,55741.05,0.0,0.0,0.0,0.0,0.0,0.0,123175.97,GA,07,,W,,W,62.0,259550.0,0.0,2012-12-31,5000.0,0.0
523,H0GA08099,"SCOTT, JAMES AUSTIN",I,2.0,REP,1114640.95,46314.18,817934.63,0.0,10669.68,307376.0,0.0,0.0,0.0,56080.0,0.0,8719.63,545984.34,GA,08,,W,,W,100.0,520644.43,0.0,2012-12-31,2500.0,12000.0
524,H2GA09200,"COOLEY, JOSEPH DILLARD III (JODY)",C,1.0,DEM,76245.34,0.0,75605.69,0.0,0.0,639.65,1611.17,5220.0,0.0,450.0,0.0,4770.0,66265.16,GA,09,,W,,L,23.0,24.01,3100.0,2012-12-31,111.0,0.0
526,H2GA09150,"COLLINS, DOUGLAS ALLEN",C,2.0,REP,780886.95,0.0,674338.52,0.0,0.0,106548.43,100.0,15000.0,0.0,15000.0,0.0,0.0,497982.28,GA,09,,,,W,76.0,265300.0,2500.0,2012-12-31,4850.0,2500.0
531,H8GA10049,"BROUN, PAUL COLLINS",I,2.0,REP,1351218.47,34248.83,1295800.79,0.0,100148.84,155566.52,0.0,0.0,0.0,69000.0,0.0,0.0,909075.33,GA,10,,W,,W,100.0,397866.52,250.0,2012-12-31,3212.0,0.0
532,H2GA11206,"THOMPSON, JOHN PATRICK",C,1.0,DEM,5956.0,0.0,6379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5956.0,GA,11,,W,,L,31.0,0.0,0.0,2012-11-26,0.0,0.0
533,H2GA11149,"GINGREY, J. PHILLIP",I,2.0,REP,1720190.35,2184.0,1140885.35,0.0,1292628.74,1871933.74,0.0,0.0,0.0,0.0,0.0,0.0,839453.0,GA,11,,W,,W,68.0,858850.0,0.0,2012-12-31,13300.0,0.0
536,H4GA12010,"BARROW, JOHN J.",I,1.0,DEM,2876917.75,0.0,2880362.64,0.0,70392.47,66947.58,0.0,0.0,0.0,0.0,0.0,0.0,1071380.33,GA,12,,W,,W,53.0,1794605.54,10798.98,2012-12-31,500.0,500.0
537,H2GA12105,"ANDERSON, LEE I",C,2.0,REP,1306198.99,70631.99,1306198.99,0.0,0.0,0.0,2500.0,178000.0,0.0,132756.25,0.0,0.0,715306.6,GA,12,,,,L,46.0,329256.4,10000.0,2012-12-27,5800.0,2750.0
542,H2GA13012,"SCOTT, DAVID ALBERT",I,1.0,DEM,976668.79,0.0,845674.93,0.0,53085.84,184079.7,0.0,1000.0,0.0,0.0,0.0,74000.0,179155.0,GA,13,,W,,W,71.0,793800.42,0.0,2012-12-31,500.0,250.0
543,H2GA14010,"GRANT, DANIEL FRANK",C,1.0,DEM,12360.0,0.0,33400.5,0.0,0.0,-112.0,5328.0,0.0,0.0,0.0,0.0,0.0,1032.0,GA,14,,W,,L,27.0,5000.0,1000.0,2012-11-26,0.0,0.0
544,H0GA09030,"GRAVES, JOHN THOMAS MR. JR.",I,2.0,REP,1179676.68,13281.92,1126844.4,0.0,3114.52,55946.8,0.0,0.0,0.0,0.0,0.0,0.0,627142.48,GA,14,,W,,W,72.0,537355.66,800.0,2012-12-31,7683.33,11000.0
545,H2GU00033,"BORDALLO, MADELEINE Z. MS.",I,1.0,DEM,254070.0,0.0,495140.85,0.0,334778.94,93708.09,0.0,0.0,0.0,0.0,0.0,0.0,254070.0,GU,00,,W,,W,60.0,0.0,0.0,2012-12-31,0.0,0.0
547,H2GU00066,"BLAS, FRANK FLORES JR",C,2.0,REP,142404.12,0.0,140359.41,0.0,0.0,2044.71,1900.0,6000.0,0.0,0.0,0.0,6000.0,134004.12,GU,00,,W,,L,39.0,500.0,0.0,2012-12-31,0.0,0.0
549,H2HI02110,"HANABUSA, COLLEEN WAKAKO",I,1.0,DEM,1439038.46,148936.41,1448162.67,148936.41,64018.74,54894.53,0.0,0.0,0.0,136930.59,0.0,12577.58,802939.42,HI,01,,W,,W,54.0,486437.25,21.96,2012-12-31,1000.0,0.0
550,H0HI01157,"DJOU, CHARLES K",C,2.0,REP,693739.93,0.0,926223.37,0.0,246392.03,13908.59,0.0,0.0,0.0,0.0,0.0,0.0,610510.54,HI,01,,W,,L,45.0,83229.39,0.0,2012-12-31,4030.0,200.0
553,H2HI02508,"GABBARD, TULSI",O,1.0,DEM,1828589.91,0.0,1516206.61,0.0,0.0,312383.3,19635.47,108000.0,0.0,64000.0,0.0,44000.0,1299287.68,HI,02,,W,,W,80.0,365777.57,201.15,2012-12-31,1989.0,2900.0
559,H6IA01098,"BRALEY, BRUCE L",I,1.0,DEM,2687007.57,35414.47,2664440.22,0.0,28895.5,51462.85,0.0,0.0,0.0,0.0,0.0,659.25,1739366.33,IA,01,,,,W,56.0,895759.19,8910.35,2012-12-31,3550.0,0.1
560,H0IA01117,"LANGE, BEN",C,2.0,REP,1079677.28,12635.72,1079784.4,6059.88,3917.64,3810.52,0.0,0.0,0.0,0.0,0.0,0.0,852871.56,IA,01,,W,,L,41.0,209170.0,5000.0,2012-12-31,4150.0,0.0
563,H2IA01071,"KRAIL, GEORGE ",C,3.0,IND,8745.25,211.0,8584.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IA,01,,,,L,0.0,200.0,0.0,2012-12-31,0.0,0.0
565,H6IA02146,"LOEBSACK, DAVID WAYNE",I,1.0,DEM,1562539.88,0.0,1544560.57,0.0,3772.23,21836.74,0.0,0.0,0.0,0.0,0.0,0.0,632510.24,IA,02,,W,,W,54.0,895555.67,100.0,2012-12-31,0.0,0.0
566,H2IA02053,"ARCHER, JOHN HENRY",C,2.0,REP,967708.31,3799.34,967708.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771085.94,IA,02,,W,,L,41.0,184351.58,7234.55,2012-12-31,245.0,0.0
569,H6IA03144,"BOSWELL, LEONARD L.",I,1.0,DEM,1747775.66,0.0,1766438.74,0.0,65275.77,46612.69,0.0,0.0,0.0,0.0,0.0,0.0,887449.7,IA,03,,W,,L,44.0,840410.53,7080.18,2012-12-31,1050.0,2250.0
570,H4IA05102,"LATHAM, THOMAS",I,2.0,REP,3412780.12,22269.22,3886262.09,3958.27,591042.52,117560.55,0.0,0.0,0.0,0.0,0.0,0.0,1168716.84,IA,03,,W,,W,53.0,2113265.21,5950.0,2012-12-31,5690.48,8000.0
571,H2IA04117,"VILSACK, CHRISTIE",C,1.0,DEM,3359507.01,17750.0,3355947.81,0.0,0.0,3559.2,0.0,0.0,0.0,0.0,0.0,0.0,2783643.16,IA,04,,W,,L,44.0,505179.35,15381.91,2012-12-31,21200.0,4500.0
572,H2IA05072,"KING, STEVE MR.",I,2.0,REP,3753859.7,1000.0,3815764.55,0.0,181097.99,119193.14,0.0,0.0,0.0,0.0,0.0,0.0,3026692.45,IA,04,,W,,W,53.0,687200.0,32656.0,2012-12-31,8735.0,500.0
573,H2ID01101,"FARRIS, JAMES R (JIMMY)",C,1.0,DEM,82924.24,0.0,82903.74,0.0,0.0,20.5,50.0,0.0,1000.0,0.0,1000.0,1250.0,53965.06,ID,01,,W,,L,30.0,25878.57,2030.61,2012-12-31,0.0,0.0
574,H0ID01253,"LABRADOR, RAUL",I,2.0,REP,830195.57,2146.36,619719.06,0.0,39995.56,250472.07,0.0,0.0,0.0,15000.0,0.0,0.0,486658.51,ID,01,,W,,W,63.0,338233.7,823.26,2012-12-31,-450.0,4500.0
576,H2ID02133,"LEFAVOUR, NICOLE",C,1.0,DEM,350399.48,0.0,343549.3,0.0,0.0,6850.18,195.0,0.0,0.0,0.0,0.0,4134.79,314273.99,ID,02,,W,,L,34.0,28620.49,7250.0,2012-12-31,50.0,0.0
578,H8ID02064,"SIMPSON, MICHAEL K",I,2.0,REP,1200025.64,0.0,1192871.28,350000.0,59336.22,66490.58,0.0,0.0,0.0,0.0,0.0,0.0,430528.5,ID,02,,W,,W,65.0,769497.14,0.0,2012-12-31,2700.0,3000.0
579,H2IL01042,"RUSH, BOBBY L",I,1.0,DEM,498765.15,0.0,476407.1,2000.0,2080.24,24438.29,0.0,0.0,0.0,0.0,0.0,23489.43,81234.65,IL,01,,W,,W,73.0,417530.5,0.0,2012-12-31,0.0,0.0
582,H2IL01166,"PELOQUIN, DONALD",C,2.0,REP,101655.92,0.0,99791.83,0.0,0.0,0.0,0.0,9500.0,0.0,2500.0,0.0,0.0,84493.0,IL,01,,W,,L,26.0,6538.33,0.0,2012-12-31,1350.0,0.0
584,H6IL02124,"JACKSON, JESSE JR",I,1.0,DEM,1003682.86,0.0,1063065.87,0.0,224465.32,105703.12,0.0,0.0,0.0,0.0,0.0,0.0,635956.46,IL,02,,W,,W,63.0,367700.0,0.0,2012-11-26,0.0,0.0
586,H2IL02149,"WOODWORTH, BRIAN",C,2.0,REP,19266.24,0.0,18129.16,0.0,0.0,1137.08,1411.24,1000.0,0.0,0.0,0.0,1000.0,15145.0,IL,02,,W,,L,23.0,1710.0,0.0,2012-12-31,0.0,0.0
589,H4IL03077,"LIPINSKI, DANIEL",I,1.0,DEM,825517.56,0.0,589524.78,0.0,555540.62,791533.4,0.0,0.0,0.0,0.0,0.0,0.0,287097.04,IL,03,,W,,W,68.0,531314.32,0.0,2012-12-31,3250.0,1000.0
590,H2IL03121,"GRABOWSKI, RICHARD L",C,2.0,REP,13126.5,75.0,13168.09,0.0,41.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13051.5,IL,03,,W,,L,31.0,0.0,0.0,2012-12-01,0.0,0.0
591,H2IL08039,"GUTIERREZ, LUIS V",I,1.0,DEM,344048.41,0.0,383848.64,0.0,393636.13,353835.9,0.0,0.0,0.0,0.0,0.0,0.0,88557.31,IL,04,,W,,W,83.0,248138.61,0.0,2012-12-31,4710.0,0.0
592,H2IL04145,"CONCEPCION, HECTOR L",C,2.0,REP,14192.0,0.0,14191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14192.0,IL,04,,,,L,16.0,0.0,0.0,2012-12-31,0.0,0.0
593,H0IL05096,"QUIGLEY, MIKE",I,1.0,DEM,728590.98,0.0,703729.55,114000.0,348983.29,373844.72,0.0,0.0,0.0,0.0,0.0,0.0,378790.98,IL,05,,W,,W,65.0,347150.0,2650.0,2012-12-31,900.0,0.0
594,H2IL05183,"WADE, NANCY LYNN",C,3.0,GRE,6213.0,0.0,6124.0,0.0,0.0,89.0,75.0,0.0,0.0,0.0,0.0,0.0,5989.0,IL,05,,,,L,5.0,0.0,0.0,2012-12-31,0.0,0.0
596,H2IL06058,"COOLIDGE, LESLIE ANNE",C,1.0,DEM,413376.55,0.0,411149.93,0.0,0.0,2226.62,0.0,144508.02,0.0,0.0,0.0,144508.02,252825.36,IL,06,,W,,L,40.0,15105.67,0.0,2012-12-31,0.0,0.0
598,H6IL06117,"ROSKAM, PETER",I,2.0,REP,3277931.9,74060.0,3406887.17,0.0,1172194.6,1043239.33,0.0,0.0,0.0,0.0,0.0,10373.61,1586112.93,IL,06,,W,,W,59.0,1606913.38,0.0,2012-12-31,11005.0,500.0
601,H4IL07037,"DAVIS, DANNY K",I,1.0,DEM,372212.44,0.0,512310.04,0.0,346701.18,206603.58,0.0,0.0,0.0,45000.0,0.0,60296.97,69545.0,IL,07,,W,,W,84.0,295760.64,6000.0,2012-12-31,0.0,0.0
603,H6IL06141,"DUCKWORTH, L. TAMMY",C,1.0,DEM,5309495.24,17071.83,5208691.38,0.0,0.0,100803.86,0.0,0.0,0.0,0.0,0.0,93350.59,4551655.05,IL,08,,W,,W,54.0,727990.9,10086.38,2012-12-31,6205.0,1750.0
604,H0IL08090,"WALSH, JOE",I,2.0,REP,2011080.18,21083.7,2008414.74,0.0,21890.98,24556.42,0.0,0.0,0.0,13400.0,0.0,28116.18,1321814.67,IL,08,,W,,L,45.0,652560.53,10250.0,2012-12-31,22650.0,0.0
607,H8IL09067,"SCHAKOWSKY, JANICE D",I,1.0,DEM,1350902.19,0.0,1338067.35,0.0,260176.38,273011.52,0.0,0.0,0.0,0.0,0.0,0.0,984758.14,IL,09,,W,,W,66.0,353625.0,1120.0,2012-12-31,2896.0,350.0
608,H2IL09110,"WOLFE, TIMOTHY C",C,2.0,REP,64012.51,0.0,63491.75,0.0,0.0,520.15,478.41,0.0,0.0,0.0,0.0,7107.65,63534.1,IL,09,,W,,L,33.0,0.0,0.0,2012-12-31,0.0,0.0
610,H2IL10068,"SCHNEIDER, BRADLEY SCOTT",C,1.0,DEM,3043849.38,0.0,3029605.21,0.0,0.0,14244.17,50028.0,100000.0,0.0,0.0,0.0,168108.83,2414583.62,IL,10,,W,,W,50.0,470132.03,8577.75,2012-12-31,13890.51,0.0
613,H0IL10302,"DOLD, ROBERT JAMES MR JR",C,2.0,REP,4569885.11,45867.14,4543848.98,800.0,81257.16,107293.29,0.0,0.0,0.0,0.0,0.0,5389.61,3072149.09,IL,10,,W,,L,49.0,1381046.29,14000.0,2012-12-31,33237.45,11498.34
616,H8IL14067,"FOSTER, G. WILLIAM (BILL)",C,1.0,DEM,3540707.49,4000.0,3611720.92,0.0,80011.36,8997.93,0.0,579815.12,0.0,79815.12,0.0,1223484.88,2520441.4,IL,11,,W,,W,58.0,421844.63,10001.11,2012-12-31,4950.2,0.0
617,H8IL13069,"BIGGERT, JUDY",I,2.0,REP,2909765.79,19198.95,3240188.83,0.0,397833.18,67410.14,0.0,0.0,0.0,5000.0,0.0,293250.0,1384941.15,IL,11,,W,,L,41.0,1484792.08,15000.0,2012-12-31,3125.0,0.0
620,H2IL12122,"ENYART, WILLIAM L JR",O,1.0,DEM,1180462.93,0.0,1167686.09,0.0,0.0,12776.84,5500.0,70600.0,0.0,0.0,0.0,70600.0,688343.12,IL,12,,,,W,0.0,400154.84,15256.25,2012-12-31,3048.0,1000.0
624,H2IL12098,"PLUMMER, JASON",O,2.0,REP,1350428.22,11728.63,1346211.06,0.0,0.0,4217.16,0.0,60000.0,0.0,0.0,0.0,158300.69,629828.39,IL,12,,W,,L,88.0,636142.0,12175.0,2012-12-31,0.0,0.0
625,H2IL12130,"BRADSHAW, PAULA",O,3.0,GRE,11732.41,0.0,11353.17,0.0,0.0,379.24,0.0,0.0,0.0,0.0,0.0,0.0,11732.41,IL,12,,,,L,11.0,0.0,0.0,2012-12-31,0.0,0.0
627,H4IL15055,"GILL, DAVID MICHAEL",C,1.0,DEM,1325027.48,3855.32,1322590.41,0.0,2881.67,5318.74,702.0,0.0,0.0,0.0,0.0,4081.0,1014616.18,IL,13,,W,,L,46.0,285455.98,7600.0,2012-12-31,2675.5,0.0
632,H2IL13120,"DAVIS, RODNEY L",O,2.0,REP,1400450.64,309.02,1383023.66,0.0,0.0,17426.98,0.0,0.0,0.0,0.0,0.0,59000.0,729582.07,IL,13,,,,W,46.0,645797.72,22370.0,2012-12-31,0.0,0.0
633,H2IL13138,"HARTMAN, JOHN",O,3.0,IND,23901.07,0.0,23417.43,0.0,0.0,326.82,8699.07,250.0,0.0,250.0,0.0,0.0,377.0,IL,13,,,,L,7.0,0.0,0.0,2012-11-26,0.0,0.0
634,H2IL14078,"ANDERSON, DENNIS",C,1.0,DEM,98443.11,0.0,97898.78,0.0,0.0,544.33,9101.0,59700.0,0.0,0.0,0.0,59700.0,29542.11,IL,14,,W,,L,41.0,100.0,0.0,2012-12-31,0.0,0.0
635,H0IL14080,"HULTGREN, RANDY",I,2.0,REP,1362709.72,39511.83,1350126.39,0.0,42785.26,55368.59,0.0,0.0,0.0,800.0,0.0,0.0,709618.14,IL,14,,W,,W,58.0,611247.75,0.0,2012-12-31,22245.0,3000.0
636,H2IL15083,"MICHAEL, ANGELA",C,1.0,DEM,10305.0,2800.0,10455.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5394.0,IL,15,,W,,L,31.0,2886.0,2000.0,2012-12-31,0.0,0.0
637,H2IL20042,"SHIMKUS, JOHN M",I,2.0,REP,2107579.3,0.0,2384832.07,0.0,1135182.75,860929.98,0.0,0.0,0.0,0.0,0.0,0.0,494572.3,IL,15,,W,,W,68.0,1591689.88,200.0,2012-12-31,0.0,0.0
638,H2IL16057,"ROHL, WANDA",C,1.0,DEM,36264.87,0.0,31837.3,0.0,0.0,4427.57,0.0,0.0,0.0,0.0,0.0,0.0,34814.87,IL,16,,,,L,38.0,0.0,1450.0,2012-12-31,0.0,0.0
639,H0IL11052,"KINZINGER, ADAM",I,2.0,REP,2034418.97,8840.5,1972829.81,0.0,38398.42,99987.58,0.0,0.0,0.0,0.0,0.0,0.0,1019221.8,IL,16,,W,,W,61.0,993724.61,1900.0,2012-12-31,13890.0,8750.0
643,H2IL17071,"BUSTOS, CHERI",C,1.0,DEM,2212530.1,0.0,2187282.79,0.0,0.0,25247.31,65.0,0.0,0.0,0.0,0.0,11500.0,1652072.21,IL,17,,W,,W,53.0,542573.31,13399.58,2012-12-31,10572.2,100.0
647,H0IL17059,"SCHILLING, ROBERT T.",C,2.0,REP,2601501.69,64201.47,2571549.53,78856.0,9759.03,39711.19,0.0,0.0,0.0,0.0,0.0,10000.0,1468960.13,IL,17,,W,,L,46.0,999606.15,56618.0,2012-12-31,6850.0,0.0
649,H8IL18043,"SCHOCK, AARON JON MR.",I,2.0,REP,3226793.0,1054623.42,2170938.49,6243.02,1042652.88,2098507.39,0.0,0.0,0.0,0.0,0.0,0.0,812509.21,IL,18,,W,,W,74.0,1270428.98,2975.0,2012-12-31,3972.5,14500.0
650,H4IN01012,"VISCLOSKY, PETER J.",I,1.0,DEM,785240.06,0.0,1064314.53,0.0,495137.55,216063.08,0.0,0.0,0.0,0.0,0.0,0.0,207135.0,IN,01,,W,,W,67.0,569191.51,5000.0,2012-12-31,0.0,0.0
651,H2IN01123,"PHELPS, JOEL JEFFREY",C,2.0,REP,75735.75,0.0,75872.42,0.0,0.0,-136.67,30789.95,4000.0,0.0,0.0,0.0,4000.0,37295.8,IN,01,,W,,L,32.0,1000.0,2650.0,2012-12-31,0.0,0.0
653,H2IN02204,"MULLEN, BRENDAN B.",O,1.0,DEM,1283258.89,975.0,1278023.1,0.0,0.0,5235.79,9134.94,10000.0,0.0,10000.0,0.0,0.0,812745.2,IN,02,,W,,L,47.0,421944.35,15470.53,2012-12-31,1750.0,0.0
655,H0IN02190,"WALORSKI (SWIHART), JACKIE",O,2.0,REP,1878410.35,4613.37,1874002.93,0.0,14973.84,19381.26,0.0,0.0,0.0,0.0,0.0,25000.0,1276643.25,IN,02,,W,,W,48.0,587942.41,7915.0,2012-12-31,22290.0,750.0
658,H6IN00027,"BOYD, KEVIN ROBERT",C,1.0,DEM,42278.76,208.3,40023.22,0.0,0.0,2715.54,56.02,0.0,0.0,0.0,0.0,0.0,30070.04,IN,03,,W,,L,32.0,5850.0,6000.0,2012-12-31,0.0,0.0
659,H0IN03198,"STUTZMAN, MARLIN A",I,2.0,REP,960106.76,24997.34,806826.38,0.0,522.94,153803.32,2400.0,0.0,0.0,0.0,0.0,42674.42,519370.43,IN,03,,W,,W,67.0,413238.99,0.0,2012-12-31,11350.0,0.0
661,H2IN04135,"NELSON, TARA E",C,1.0,DEM,21578.96,0.0,21575.87,0.0,0.0,3.09,5139.26,0.0,0.0,0.0,0.0,0.0,13939.7,IN,04,,W,,L,34.0,0.0,2500.0,2012-12-31,0.0,0.0
662,H0IN04170,"ROKITA, THEODORE EDWARD",I,2.0,REP,1321277.75,0.0,942938.74,0.0,295410.86,673749.87,0.0,0.0,0.0,0.0,0.0,0.0,809020.18,IN,04,,W,,W,61.0,491600.0,500.0,2012-12-31,17500.0,0.0
664,H2IN05090,"RESKE, SCOTT ERIC",O,1.0,DEM,399589.84,0.0,399589.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223649.84,IN,05,,W,,L,37.0,164875.0,11065.0,2012-12-04,400.0,0.0
665,H2IN05082,"BROOKS, SUSAN MRS.",O,2.0,REP,1440815.25,4853.92,1265518.73,0.0,0.0,175121.52,0.0,0.0,0.0,0.0,0.0,0.0,1192511.33,IN,05,,W,,W,58.0,243200.0,250.0,2012-12-31,7465.81,1500.0
671,H0IN05169,"REID, RICHARD ANDREW",O,3.0,LIB,7471.0,0.0,7174.0,0.0,333.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,7471.0,IN,05,,,,L,4.0,0.0,0.0,2012-09-30,0.0,0.0
674,H2IN06213,"BOOKOUT, BRADLEY T",O,1.0,DEM,75814.75,0.0,73448.78,8610.0,0.0,1567.69,0.0,0.0,0.0,0.0,0.0,0.0,59291.71,IN,06,,W,,L,35.0,12023.04,4500.0,2012-11-26,0.0,0.0
676,H0IN02125,"MESSER, ALLEN LUCAS",O,2.0,REP,1147524.09,0.0,1115097.24,0.0,11193.11,49712.52,12467.93,50000.0,0.0,50000.0,0.0,45200.0,736133.0,IN,06,,W,,W,59.0,315850.0,33022.64,2012-12-31,5000.0,2500.0
683,H2IN06270,"BELL, REX ALAN",O,3.0,LIB,7130.0,0.0,7130.0,0.0,0.0,118.0,4744.0,0.0,0.0,0.0,0.0,0.0,1410.0,IN,06,,,,L,5.0,0.0,976.0,2012-11-06,0.0,0.0
684,H8IN07184,"CARSON, ANDRE",I,1.0,DEM,1124041.82,0.0,1027625.01,0.0,216059.25,312476.06,0.0,0.0,0.0,0.0,0.0,0.0,619203.05,IN,07,,W,,W,62.0,496255.36,7524.51,2012-12-31,10550.0,3300.0
685,H0IN07157,"MAY, CARLOS ANDREW",C,2.0,REP,102208.68,0.0,102083.05,0.0,0.0,124.99,0.0,0.0,0.0,0.0,0.0,18710.0,96458.68,IN,07,,W,,L,37.0,5750.0,0.0,2012-12-31,0.0,0.0
691,H2IN08094,"CROOKS, DAVID L",C,1.0,DEM,1055009.97,0.0,1055014.97,0.0,0.0,0.0,250.0,75000.0,0.0,75000.0,0.0,0.0,568359.34,IN,08,,W,,L,42.0,390665.03,16540.59,2012-11-26,1500.0,0.0
693,H0IN08114,"BUCSHON, LARRY D",I,2.0,REP,1371506.76,6692.5,1389537.18,865.38,18119.27,88.85,0.0,0.0,0.0,0.0,0.0,11035.76,736246.59,IN,08,,W,,W,53.0,623567.67,5000.0,2012-12-31,3150.0,10650.0
698,H2IN09167,"YODER, SHELLI",C,1.0,DEM,446142.17,0.0,416029.69,0.0,0.0,-43759.45,4065.1,0.0,0.0,0.0,0.0,0.0,385228.71,IN,09,,W,,L,41.0,49700.1,5600.0,2012-12-31,1.92,2500.0
699,H0IN09070,"YOUNG, TODD CHRISTOPHER",I,2.0,REP,1819056.96,8413.07,1823459.34,0.0,14692.86,10290.48,0.0,0.0,0.0,0.0,0.0,0.0,1437113.5,IN,09,,W,,W,58.0,364944.96,1000.0,2012-12-31,60400.95,0.0
700,H6KS01146,"HUELSKAMP, TIMOTHY A REPRESENTA",I,2.0,REP,857538.0,25938.25,370529.59,0.0,32121.64,519130.05,0.0,0.0,0.0,0.0,0.0,5375.72,401338.63,KS,01,,W,,W,0.0,428923.04,0.0,2012-12-31,300.0,0.0
701,H2KS02119,"SCHLINGENSIEPEN, TOBIAS",C,1.0,DEM,215357.3,0.0,215357.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206351.8,KS,02,,W,,L,38.0,4100.0,4874.2,2012-12-20,70.0,0.0
703,H8KS02090,"JENKINS, LYNN",I,2.0,REP,1948903.34,0.0,1492090.28,0.0,337426.18,795065.94,84.0,0.0,0.0,0.0,0.0,0.0,893863.61,KS,02,,W,,W,56.0,1044282.84,0.0,2012-12-31,1850.0,0.0
704,H0KS03137,"YODER, KEVIN",I,2.0,REP,1723479.92,27534.92,665713.93,0.0,25372.8,1083138.79,0.0,0.0,0.0,0.0,0.0,0.0,1102202.92,KS,03,,W,,W,68.0,556057.69,0.0,2012-12-31,6797.93,500.0
705,H8KS03056,"BALAM, JOEL",C,3.0,LIB,3182.0,0.0,3074.1,361.0,13.0,37.0,1350.0,0.0,0.0,0.0,0.0,0.0,1796.0,KS,03,,,,L,31.0,0.0,0.0,2012-12-31,0.0,0.0
706,H0KS04101,"TILLMAN, ROBERT LEON",C,1.0,DEM,65563.9,0.0,57683.07,0.0,6340.29,14221.12,28.0,43520.0,7000.0,43520.0,7000.0,20970.0,2092.9,KS,04,,W,,L,31.0,0.0,0.0,2012-12-03,0.0,0.0
707,H0KS04051,"POMPEO, MICHAEL RICHARD",I,2.0,REP,1924284.53,9204.27,787675.06,80250.0,118767.17,1255376.64,0.0,0.0,0.0,0.0,0.0,0.0,1155712.78,KS,04,,W,,W,62.0,754250.0,0.0,2012-12-31,0.0,0.0
708,H4KY01040,"WHITFIELD, WAYNE EDWARD",I,2.0,REP,1917048.79,0.0,1466340.54,2684.19,1049477.38,1500185.63,0.0,0.0,0.0,0.0,0.0,0.0,546390.0,KY,01,,W,,W,69.0,1353450.0,0.0,2012-12-31,0.0,2500.0
709,H8KY02031,"GUTHRIE, S. BRETT HON.",I,2.0,REP,1577907.36,0.0,1027866.31,0.0,275093.32,825634.37,0.0,0.0,0.0,0.0,0.0,0.0,433370.78,KY,02,,W,,W,64.0,1111286.54,500.0,2012-12-31,0.0,0.0
